id,ImageID,PredictionString_pred
49,dhaka_night3_44250,2.0 0.9732853174209595 0.10989198088645935 0.005745232105255127 0.5075238347053528 0.9776253700256348
50,sherpur1_8265,11.0 0.6656762957572937 0.2458388265222311 0.472316512838006 0.035642433911561966 0.05955098196864128
51,mymensingh1_134101,"0.0 0.9285188317298889 0.1735789105296135 0.18248991668224335 0.2106499820947647 0.3210352957248688,0.0 0.8394423723220825 0.6739088259637356 0.1488073766231537 0.10540200024843216 0.2703248858451843,9.0 0.818524956703186 0.8475218284875154 0.2126126866787672 0.03302612528204918 0.060704026371240616,7.0 0.8137805461883545 0.5163210369646549 0.17300399392843246 0.05009155720472336 0.24503351747989655,9.0 0.6952593922615051 0.5784595459699631 0.16539742052555084 0.08347073197364807 0.20296183228492737,6.0 0.6103965640068054 0.9325171587988734 0.2136517409235239 0.019153976812958717 0.053926777094602585,7.0 0.5145084857940674 0.7725297883152962 0.19220803678035736 0.025921568274497986 0.12085744738578796"
52,dhaka2_12960,"11.0 0.9538840651512146 0.3282826952636242 0.37053578346967697 0.10972736030817032 0.2494286447763443,3.0 0.9161760807037354 0.1441725492477417 0.4849027916789055 0.20535698533058167 0.2490251213312149,9.0 0.8476015329360962 0.4611348444595933 0.49194416403770447 0.02698345296084881 0.06897193193435669,3.0 0.8364499807357788 0.5565523263067007 0.4874926172196865 0.04724006727337837 0.058796294033527374,0.0 0.6426791548728943 0.8097862675786018 0.382963627576828 0.1554637998342514 0.29856258630752563,6.0 0.5803301930427551 0.6248759981244802 0.5094812214374542 0.036980438977479935 0.08245307207107544,3.0 0.5639920234680176 0.7308424934744835 0.4774971008300781 0.07113094627857208 0.10763442516326904,3.0 0.5231424570083618 0.7830039449036121 0.46340324729681015 0.038786254823207855 0.1114705353975296"
53,dhaka_night3_62127,0 0 0 0 0 0
54,sylhet4_28438,"9.0 0.9441384673118591 0.545135572552681 0.0071980953216552734 0.3023988902568817 0.7474512457847595,9.0 0.9300930500030518 0.24523276835680008 0.15690894424915314 0.145760640501976 0.3618134558200836,9.0 0.9094873070716858 0.42360594868659973 0.14875835925340652 0.06664657592773438 0.187886044383049,9.0 0.8989700078964233 0.5125390700995922 0.12996697425842285 0.07679752260446548 0.26274770498275757,9.0 0.7622511386871338 0.3530688211321831 0.164636492729187 0.08423532545566559 0.2732803225517273,3.0 0.6940963864326477 0.7634361535310745 0.0026423633098602295 0.21773645281791687 0.5488043427467346,9.0 0.6821221113204956 0.4790465459227562 0.17538665235042572 0.03664608299732208 0.13267609477043152,0.0 0.5248011350631714 0.9192526899278164 0.0 0.07963848859071732 0.9877610802650452"
55,sylhet4_40238,"0.0 0.8968949913978577 0.880880780518055 0.06841441988945007 0.11911927163600922 0.5007904767990112,7.0 0.8790915608406067 0.004372268915176392 0.006209522485733032 0.5483524799346924 0.9838460087776184,6.0 0.8438342809677124 0.7430879101157188 0.2028454840183258 0.1277046948671341 0.27417874336242676,0.0 0.8143383264541626 0.4978746324777603 0.06405934691429138 0.18901285529136658 0.3912995457649231,0.0 0.8054102063179016 0.00022152066230773926 0.023651182651519775 0.1394118070602417 0.549521267414093,7.0 0.6425775289535522 0.7634198181331158 0.10968878865242004 0.0960756316781044 0.29734694957733154,0.0 0.5964831709861755 0.6747710015624762 0.14144162088632584 0.05877997353672981 0.13941754400730133"
56,khulna4_9660,"7.0 0.952570915222168 0.7401952743530273 0.009205132722854614 0.25980472564697266 0.9688904881477356,9.0 0.9389709830284119 0.19410671293735504 0.028629988431930542 0.4338533580303192 0.9708080887794495,0.0 0.8593409657478333 0.6758285388350487 0.26346296817064285 0.0749175101518631 0.19978325068950653,9.0 0.6674508452415466 0.627719784155488 0.31815526634454727 0.03367586061358452 0.06659893691539764,0.0 0.5174396634101868 0.8018661364912987 0.020091593265533447 0.19677086174488068 0.9799084663391113"
57,maowa_expressway2_39943,"0.0 0.8704001903533936 0.6109802797436714 0.6677296087145805 0.11595498025417328 0.1953524500131607,11.0 0.8648359775543213 0.000187017023563385 0.0003254413604736328 0.2387533336877823 0.9996745586395264,0.0 0.7977816462516785 0.27469769213348627 0.6865883283317089 0.025151191279292107 0.056077517569065094,0.0 0.7445480823516846 0.5427461341023445 0.6882804371416569 0.038098081946372986 0.08934801071882248,2.0 0.5217260122299194 0.4024752005934715 0.6281242072582245 0.0760614424943924 0.14133018255233765,7.0 0.5003268718719482 0.7291803946718574 0.7045676372945309 0.021686555817723274 0.08275146037340164"
58,chittagong_night1_12180,0 0 0 0 0 0
59,khulna4_4830,"9.0 0.8716811537742615 0.39129984751343727 0.0003957971930503845 0.0910751149058342 0.22961345314979553,0.0 0.7869827151298523 0.7183969505131245 0.0 0.07327213138341904 0.13540494441986084,9.0 0.7584957480430603 0.5859024003148079 0.009263813495635986 0.1446772664785385 0.2792246639728546,0.0 0.7371374368667603 0.8216660507023335 0.0 0.0712360367178917 0.12706588208675385,7.0 0.6774044632911682 0.5051530934870243 0.0 0.07528191059827805 0.23893263936042786,1.0 0.6532280445098877 0.5011160112917423 0.07022161036729813 0.10148315876722336 0.21157579123973846,7.0 0.5512297749519348 0.35991773568093777 0.0 0.04087095335125923 0.14166384935379028,0.0 0.5187828540802002 0.9427783358842134 0.011561065912246704 0.056418802589178085 0.9501904249191284,7.0 0.513500988483429 0.21010246314108372 0.004516787827014923 0.04247159883379936 0.22359026968479156"
60,dhaka_night3_5664,"3.0 0.9102117419242859 0.4389735013246536 0.5889068692922592 0.3502447307109833 0.40648260712623596,9.0 0.9078615307807922 0.11156012490391731 0.5523067712783813 0.11801563948392868 0.3097805976867676,9.0 0.7970269322395325 0.0 0.5614815801382065 0.08338478952646255 0.28755584359169006,11.0 0.7908841967582703 0.7678501829504967 0.41955555975437164 0.1344730406999588 0.3592725694179535,7.0 0.5779799818992615 0.29963463731110096 0.5525474771857262 0.057593222707509995 0.2023835927248001"
61,rajshahi3_240,"0.0 0.8048341274261475 0.4567503174766898 0.28853996098041534 0.031005175784230232 0.07826712727546692,0.0 0.706281840801239 0.6223906967788935 0.3004901185631752 0.05926225706934929 0.1523931473493576,7.0 0.647198498249054 0.34485415555536747 0.28262877464294434 0.03861312195658684 0.1193927526473999,0.0 0.5928632020950317 0.41281934175640345 0.28904664143919945 0.02821209840476513 0.06661135703325272,6.0 0.5915110111236572 0.3475291319191456 0.3434031158685684 0.03568228334188461 0.10061582922935486"
62,maowa_expressway1_6962,"9.0 0.7049646973609924 0.4295745249837637 0.5791298374533653 0.04861145094037056 0.12630648910999298,7.0 0.5545298457145691 0.6139997076243162 0.6038075722754002 0.025225196033716202 0.12318646162748337"
